Timestamp,Clarity Score
0.959,4.048
0.972,4.047
1.058,10.588
1.071,10.588
1.090,10.588
1.104,10.588
1.186,13.821
1.198,13.821
1.215,13.821
1.231,13.821
1.297,14.559
1.307,14.559
1.323,14.559
1.425,15.489
1.449,15.489
1.464,15.489
1.478,15.489
1.538,15.462
1.557,15.462
1.571,15.462
1.663,15.477
1.681,15.477
1.694,15.477
1.711,15.477
1.778,15.802
1.805,15.802
1.820,15.802
1.906,15.596
1.927,15.596
1.944,15.596
1.960,15.596
2.018,15.535
2.036,15.535
2.052,15.535
2.068,15.535
2.147,15.410
2.158,15.410
2.175,15.410
2.259,15.390
2.387,16.491
2.407,16.491
2.423,16.491
2.440,16.491
2.499,16.410
2.515,16.410
2.531,16.410
2.625,16.363
2.638,16.363
2.653,16.363
2.669,16.363
2.738,16.650
2.761,16.650
2.777,16.650
2.865,12.710
2.886,12.710
2.901,12.710
2.916,12.710
2.979,10.869
2.991,10.869
3.010,10.869
3.107,7.748
3.135,7.748
3.150,7.748
3.167,7.748
3.218,5.625
3.244,5.625
3.260,5.625
3.274,5.625
3.347,8.619
3.369,8.619
3.384,8.619
3.456,7.215
3.477,7.215
3.492,7.215
3.509,7.215
3.585,15.695
3.697,19.297
3.710,19.297
3.727,19.297
3.826,28.666
3.839,28.666
3.852,28.666
3.868,28.666
3.938,25.042
3.961,25.042
3.977,25.042
4.066,28.493
4.086,28.493
4.101,28.493
4.118,28.493
4.164,45.083
4.194,45.083
4.210,45.083
4.256,62.278
4.271,62.278
4.286,62.278
4.339,23.025
4.365,23.025
4.419,35.659
4.443,35.659
4.459,35.659
4.482,45.703
4.505,45.703
4.564,66.460
4.582,66.460
4.627,104.619
4.644,104.619
4.706,168.885
4.722,168.885
4.770,149.867
4.784,149.867
4.833,158.398
4.846,158.398
4.913,168.772
4.925,168.772
4.977,148.911
5.004,148.911
5.043,180.121
5.066,180.121
5.123,159.238
5.143,159.238
5.158,159.238
5.187,202.761
5.206,202.761
5.267,188.611
5.282,188.611
5.330,158.582
5.342,158.582
5.394,217.527
5.421,217.527
5.474,215.962
5.499,215.962
5.537,159.556
5.561,159.556
5.601,182.442
5.624,182.442
5.683,186.071
5.699,186.071
5.717,186.071
5.746,196.219
5.827,228.692
5.839,228.692
5.855,228.692
5.890,249.830
5.903,249.830
5.953,248.174
5.980,248.174
6.033,210.518
6.059,210.518
6.097,237.247
6.119,237.247
6.162,230.069
6.183,230.069
6.243,221.383
6.260,221.383
6.305,234.652
6.323,234.652
6.385,235.590
6.400,235.590
6.414,235.590
6.450,280.900
6.462,280.900
6.515,291.779
6.595,286.419
6.618,286.419
6.635,286.419
6.658,266.847
6.681,266.847
6.721,205.200
6.743,205.200
6.803,139.433
6.822,139.433
6.867,157.748
6.884,157.748
6.944,173.883
6.961,173.883
7.009,212.083
7.023,212.083
7.074,203.268
7.099,203.268
7.152,168.025
7.178,168.025
7.193,168.025
7.217,128.106
7.239,128.106
7.282,131.814
7.302,131.814
7.363,64.072
7.380,64.072
7.425,159.791
7.441,159.791
7.506,217.882
7.519,217.882
7.569,248.199
7.584,248.199
7.634,155.174
7.660,155.174
7.714,248.131
7.738,248.131
7.779,255.085
7.801,255.085
7.842,233.960
7.862,233.960
7.923,235.821
7.940,235.821
7.956,235.821
7.986,299.146
8.001,299.146
8.066,156.031
8.080,156.031
8.130,217.509
8.143,217.509
8.195,136.332
8.220,136.332
8.274,150.988
8.299,150.988
8.335,236.098
8.360,236.098
8.404,229.181
8.423,229.181
8.481,231.304
8.499,231.304
8.515,231.304
8.546,183.079
8.627,161.530
8.639,161.530
8.654,161.530
8.690,266.282
8.702,266.282
8.753,228.032
8.779,228.032
8.833,175.026
8.856,175.026
8.897,161.951
8.920,161.951
8.962,274.995
8.981,274.995
9.042,187.682
9.058,187.682
9.106,165.277
9.121,165.277
9.186,131.326
9.212,131.326
9.229,131.326
9.251,177.090
9.276,177.090
9.314,230.232
9.393,318.651
9.413,318.651
9.427,318.651
9.457,227.643
9.474,227.643
9.522,277.779
9.536,277.779
9.602,287.725
9.617,287.725
9.666,245.917
9.693,245.917
9.746,256.464
9.769,256.464
9.810,257.892
9.830,257.892
9.874,311.747
9.891,311.747
9.955,411.155
9.968,411.155
9.985,411.155
10.018,413.637
10.031,413.637
10.081,288.249
10.095,288.249
10.162,406.588
10.186,406.588
10.227,444.862
10.248,444.862
10.306,416.012
10.327,416.012
10.369,397.964
10.388,397.964
10.434,325.297
10.451,325.297
10.515,281.463
10.543,281.463
10.579,154.273
10.591,154.273
10.642,206.015
10.667,206.015
10.723,173.164
10.744,173.164
10.761,173.164
10.787,241.980
10.807,241.980
10.867,228.425
10.883,228.425
10.930,169.429
10.945,169.429
10.993,213.205
11.004,213.205
11.074,237.390
11.099,237.390
11.138,183.372
11.159,183.372
11.200,195.975
11.222,195.975
11.282,182.635
11.299,182.635
11.312,182.635
11.347,186.622
11.426,174.115
11.439,174.115
11.454,174.115
11.489,163.868
11.517,163.868
11.555,102.781
11.579,102.781
11.634,81.508
11.656,81.508
11.699,68.239
11.718,68.239
11.763,63.178
11.779,63.178
11.841,66.833
11.858,66.833
11.907,64.729
11.920,64.729
11.985,75.657
11.999,75.657
12.014,75.657
12.050,64.881
12.075,64.881
12.115,93.293
